sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
339	TT2	TT2/g5/r6	scenario	group 5 @ 0xBD90; record 6	group-compressed	ろーぷをほどいて{CTRL:0}そーっと じゃんぬをおろした	ろーぷをほどいて ⟦CTRL:0⟧ そーっと じゃんぬをおろした	roopuohodoite / sootto jannuooroshita	ろーぷをほどいてそーっと じゃんぬをおろした	I untied the ropes and{CTRL:0}lowered Jeanne gently.	I untied the ropes and ⟦CTRL:0⟧ lowered Jeanne gently.	0	0	yes	hiragana:19; katakana:2; kanji:0; Latin:0; digits:0		じゃんぬ → ジャンヌ (Jeanne)		low		
340	TT2	TT2/g5/r7	scenario	group 5 @ 0xBD90; record 7	group-compressed	じゃんぬ「…ありがとう……」	じゃんぬ「…ありがとう……」	jannu「…arigatou……」	じゃんぬ「…ありがとう……」	Jeanne: ... Thank you...	Jeanne: ... Thank you...			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		じゃんぬ → ジャンヌ (Jeanne)	ellipsis carries timing/hesitation tone	low		
341	TT2	TT2/g5/r8	scenario	group 5 @ 0xBD90; record 8	group-compressed	もちはこぶには ながすぎる	もちはこぶには ながすぎる	mochihakobuniha nagasugiru	もちはこぶには ながすぎる	This rope is too long.	This rope is too long.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
342	T22	T22/g0/r0	scenario	group 0 @ 0xAA4E; record 0	group-compressed	かんしゅ「これはこれは だんしゃくさま{CTRL:0} ごめんかいですか{CTRL:2} …おくさまが とんでもないことに……」{CTRL:6}だんしゃく「かないが まじょだなんて{CTRL:4} なにをこんきょに……{CTRL:4} だいたいしきょうは どうしたのだ／{CTRL:3} まじょがりに うつつをぬかして{CTRL:4} きょうかいのしごとも おろそかになっている{CTRL:4} そうじゃないか／」{CTRL:3}かんしゅ「はい ちかごろでは しきょうこそが{CTRL:4} あくまのてさきではないか といううわさも……」{CTRL:3}だんしゃく「あくじの しょうこさえあれば{CTRL:4} ついほうできるのだが……」	かんしゅ「これはこれは だんしゃくさま ⟦CTRL:0⟧  ごめんかいですか ⟦CTRL:2⟧  …おくさまが とんでもないことに……」 ⟦CTRL:6⟧ だんしゃく「かないが まじょだなんて ⟦CTRL:4⟧  なにをこんきょに…… ⟦CTRL:4⟧  だいたいしきょうは どうしたのだ／ ⟦CTRL:3⟧  まじょがりに うつつをぬかして ⟦CTRL:4⟧  きょうかいのしごとも おろそかになっている ⟦CTRL:4⟧  そうじゃないか／」 ⟦CTRL:3⟧ かんしゅ「はい ちかごろでは しきょうこそが ⟦CTRL:4⟧  あくまのてさきではないか といううわさも……」 ⟦CTRL:3⟧ だんしゃく「あくじの しょうこさえあれば ⟦CTRL:4⟧  ついほうできるのだが……」	kanshu「korehakoreha danshakusama /  gomenkaidesuka /  …okusamaga tondemonaikotoni……」 / danshaku「kanaiga majodanante /  naniokonkyoni…… /  daitaishikyouha doushitanoda／ /  majogarini utsutsuonukashite /  kyoukainoshigotomo orosokaninatteiru /  soujanaika／」 / kanshu「hai chikagorodeha shikyoukosoga /  akumanotesakidehanaika toiuuwasamo……」 / danshaku「akujino shoukosaeareba /  tsuihoudekirunodaga……」	かんしゅ「これはこれは だんしゃくさま ごめんかいですか …おくさまが とんでもないことに……」だんしゃく「かないが まじょだなんて なにをこんきょに…… だいたいしきょうは どうしたのだ／ まじょがりに うつつをぬかして きょうかいのしごとも おろそかになっている そうじゃないか／」かんしゅ「はい ちかごろでは しきょうこそが あくまのてさきではないか といううわさも……」だんしゃく「あくじの しょうこさえあれば ついほうできるのだが……」	Jailer: Ah, Baron.{CTRL:0}Here to see her?{CTRL:2}Your wife is in peril...{CTRL:6}Baron: My wife, a witch?{CTRL:4}What proof is there...?{CTRL:4}Where is the bishop?!{CTRL:3}Lost in witch hunts,{CTRL:4}he neglects church work.{CTRL:4}Is that not so?!{CTRL:3}Jailer: Yes. Some say{CTRL:4}the bishop serves Satan.{CTRL:3}Baron: If we had proof{CTRL:4}we could banish him...	Jailer: Ah, Baron. ⟦CTRL:0⟧ Here to see her? ⟦CTRL:2⟧ Your wife is in peril... ⟦CTRL:6⟧ Baron: My wife, a witch? ⟦CTRL:4⟧ What proof is there...? ⟦CTRL:4⟧ Where is the bishop?! ⟦CTRL:3⟧ Lost in witch hunts, ⟦CTRL:4⟧ he neglects church work. ⟦CTRL:4⟧ Is that not so?! ⟦CTRL:3⟧ Jailer: Yes. Some say ⟦CTRL:4⟧ the bishop serves Satan. ⟦CTRL:3⟧ Baron: If we had proof ⟦CTRL:4⟧ we could banish him...	0,2,6,4,4,3,4,4,3,4,3,4	0,2,6,4,4,3,4,4,3,4,3,4	yes	hiragana:185; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region | さま: -sama: high respect, worship, status, or irony	きょうかい → 教会 | あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
343	T22	T22/g0/r1	scenario	group 0 @ 0xAA4E; record 1	group-compressed	くちを まいちもんじにむすんでいる	くちを まいちもんじにむすんでいる	kuchio maichimonjinimusundeiru	くちを まいちもんじにむすんでいる	His lips are shut tight.	His lips are shut tight.			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
344	T22	T22/g0/r2	scenario	group 0 @ 0xAA4E; record 2	group-compressed	みんな やつれはてている	みんな やつれはてている	minna yatsurehateteiru	みんな やつれはてている	Everyone looks worn out.	Everyone looks worn out.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
345	T22	T22/g0/r3	scenario	group 0 @ 0xAA4E; record 3	group-compressed	いとおしそうに つまをみつめている	いとおしそうに つまをみつめている	itooshisouni tsumaomitsumeteiru	いとおしそうに つまをみつめている	He gazes at her fondly.	He gazes at her fondly.			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
346	T22	T22/g0/r4	scenario	group 0 @ 0xAA4E; record 4	group-compressed	かんしゅ「しょうこさえあれば……{CTRL:1} いえ… ひとりごとです」	かんしゅ「しょうこさえあれば…… ⟦CTRL:1⟧  いえ… ひとりごとです」	kanshu「shoukosaeareba…… /  ie… hitorigotodesu」	かんしゅ「しょうこさえあれば…… いえ… ひとりごとです」	Jailer: If only we had{CTRL:1}proof... just muttering.	Jailer: If only we had ⟦CTRL:1⟧ proof... just muttering.	1	1	yes	hiragana:22; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	です/ます: polite register	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
347	T22	T22/g0/r5	scenario	group 0 @ 0xAA4E; record 5	group-compressed	……「わたしは まじょじゃありません／{CTRL:0} だしてください／」{CTRL:2}……「うちで こどもがまっているんです{CTRL:0} どうか… しゅうどうしさま／」	……「わたしは まじょじゃありません／ ⟦CTRL:0⟧  だしてください／」 ⟦CTRL:2⟧ ……「うちで こどもがまっているんです ⟦CTRL:0⟧  どうか… しゅうどうしさま／」	……「watashiha majojaarimasen／ /  dashitekudasai／」 / ……「uchide kodomogamatteirundesu /  douka… shuudoushisama／」	……「わたしは まじょじゃありません／ だしてください／」……「うちで こどもがまっているんです どうか… しゅうどうしさま／」	Woman: I am no witch!{CTRL:0}Please let me out!{CTRL:2}My child waits at home.{CTRL:0}Please, Brother...	Woman: I am no witch! ⟦CTRL:0⟧ Please let me out! ⟦CTRL:2⟧ My child waits at home. ⟦CTRL:0⟧ Please, Brother...	0,2,0	0,2,0	yes	hiragana:47; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region | さま: -sama: high respect, worship, status, or irony	こども → 子供	ellipsis carries timing/hesitation tone	medium		
348	T22	T22/g0/r6	scenario	group 0 @ 0xAA4E; record 6	group-compressed	だんしゃく「きょうかいのものとは くちをきかん」	だんしゃく「きょうかいのものとは くちをきかん」	danshaku「kyoukainomonotoha kuchiokikan」	だんしゃく「きょうかいのものとは くちをきかん」	Baron: I shun clergy.	Baron: I shun clergy.			yes	hiragana:21; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		きょうかい → 教会		low		
349	T22	T22/g0/r7	scenario	group 0 @ 0xAA4E; record 7	group-compressed	ここでは やばい	ここでは やばい	kokodeha yabai	ここでは やばい	Too risky to do here.	Too risky to do here.			yes	hiragana:7; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	ばい: possible Kyushu/Hakata-style assertive ending; verify speaker context	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
350	T22	T22/g0/r8	scenario	group 0 @ 0xAA4E; record 8	group-compressed	かんしゅ「だめです／ しきょうさまの{CTRL:0} おゆるしがなければ そとへだすわけには{CTRL:0} いきません」	かんしゅ「だめです／ しきょうさまの ⟦CTRL:0⟧  おゆるしがなければ そとへだすわけには ⟦CTRL:0⟧  いきません」	kanshu「damedesu／ shikyousamano /  oyurushiganakereba sotohedasuwakeniha /  ikimasen」	かんしゅ「だめです／ しきょうさまの おゆるしがなければ そとへだすわけには いきません」	Jailer: No. Without the{CTRL:0}bishop's permission, I{CTRL:0}cannot let her out.	Jailer: No. Without the ⟦CTRL:0⟧ bishop's permission, I ⟦CTRL:0⟧ cannot let her out.	0,0	0,0	yes	hiragana:38; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	さま: -sama: high respect, worship, status, or irony	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
351	T22	T22/g0/r9	scenario	group 0 @ 0xAA4E; record 9	group-compressed	だんしゃく「ん！ なんだ……！」	だんしゃく「ん！ なんだ……！」	danshaku「n！ nanda……！」	だんしゃく「ん！ なんだ……！」	Baron: Hm? What is this?	Baron: Hm? What is this?			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
352	T22	T22/g0/r10	scenario	group 0 @ 0xAA4E; record 10	group-compressed	「     けいやくしょ{CTRL:1} やみのしはいしゃ・あくまよ われは{CTRL:0} なんじにぬかずくもの なんじはわがせいぎのかみ{CTRL:6} あくとくと ちゅうしょうと あらゆるざいあくに{CTRL:4} すべてをささげることを ここにかたく ちかわん{CTRL:3}                  しきょう」	「     けいやくしょ ⟦CTRL:1⟧  やみのしはいしゃ・あくまよ われは ⟦CTRL:0⟧  なんじにぬかずくもの なんじはわがせいぎのかみ ⟦CTRL:6⟧  あくとくと ちゅうしょうと あらゆるざいあくに ⟦CTRL:4⟧  すべてをささげることを ここにかたく ちかわん ⟦CTRL:3⟧                   しきょう」	「     keiyakusho /  yaminoshihaisha・akumayo wareha /  nanjininukazukumono nanjihawagaseiginokami /  akutokuto chuushouto arayuruzaiakuni /  subeteosasagerukotoo kokonikataku chikawan /                   shikyou」	「     けいやくしょ やみのしはいしゃ・あくまよ われは なんじにぬかずくもの なんじはわがせいぎのかみ あくとくと ちゅうしょうと あらゆるざいあくに すべてをささげることを ここにかたく ちかわん                  しきょう」	"""PACT{CTRL:1}O Devil, lord of night,{CTRL:0}I kneel. You are my god{CTRL:6}of justice. I pledge all{CTRL:4}to vice, slander, evil.{CTRL:3}Bishop"""	"""PACT ⟦CTRL:1⟧ O Devil, lord of night, ⟦CTRL:0⟧ I kneel. You are my god ⟦CTRL:6⟧ of justice. I pledge all ⟦CTRL:4⟧ to vice, slander, evil. ⟦CTRL:3⟧ Bishop"""	1,0,6,4,3	1,0,6,4,3	yes	hiragana:89; katakana:1; kanji:0; Latin:0; digits:0		あくま → 悪魔		low		
353	T22	T22/g0/r11	scenario	group 0 @ 0xAA4E; record 11	group-compressed	だんしゃく「こ これは……／」{CTRL:1}かんしゅ「まちがいなく しきょうのじです／」{CTRL:0}だんしゃく「やつめ やっぱり……」{CTRL:6}かんしゅ「あ…／ あのむすめを たすけないと／」{CTRL:4}だんしゃく「よし／」	だんしゃく「こ これは……／」 ⟦CTRL:1⟧ かんしゅ「まちがいなく しきょうのじです／」 ⟦CTRL:0⟧ だんしゃく「やつめ やっぱり……」 ⟦CTRL:6⟧ かんしゅ「あ…／ あのむすめを たすけないと／」 ⟦CTRL:4⟧ だんしゃく「よし／」	danshaku「ko koreha……／」 / kanshu「machigainaku shikyounojidesu／」 / danshaku「yatsume yappari……」 / kanshu「a…／ anomusumeo tasukenaito／」 / danshaku「yoshi／」	だんしゃく「こ これは……／」かんしゅ「まちがいなく しきょうのじです／」だんしゃく「やつめ やっぱり……」かんしゅ「あ…／ あのむすめを たすけないと／」だんしゃく「よし／」	Baron: Th-this is...!{CTRL:1}Jailer: It's his hand!{CTRL:0}Baron: I knew it...{CTRL:6}Jailer: We must save her{CTRL:4}Baron: Yes!	Baron: Th-this is...! ⟦CTRL:1⟧ Jailer: It's his hand! ⟦CTRL:0⟧ Baron: I knew it... ⟦CTRL:6⟧ Jailer: We must save her ⟦CTRL:4⟧ Baron: Yes!	1,0,6,4	1,0,6,4	yes	hiragana:63; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		むすめ → 娘	ellipsis carries timing/hesitation tone	low		
354	T22	T22/g0/r12	scenario	group 0 @ 0xAA4E; record 12	group-compressed	……「ひあぶりが はじまるのかしら」{CTRL:0}……「おお かみさま…」	……「ひあぶりが はじまるのかしら」 ⟦CTRL:0⟧ ……「おお かみさま…」	……「hiaburiga hajimarunokashira」 / ……「oo kamisama…」	……「ひあぶりが はじまるのかしら」……「おお かみさま…」	Woman: Will we burn?{CTRL:0}Woman: Oh, God...	Woman: Will we burn? ⟦CTRL:0⟧ Woman: Oh, God...	0	0	yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	かしら: traditionally feminine-coded uncertainty/question | さま: -sama: high respect, worship, status, or irony	かみさま → 神様	ellipsis carries timing/hesitation tone	medium		
355	T22	T22/g0/r13	scenario	group 0 @ 0xAA4E; record 13	group-compressed	だんしゃく「おお いざべるよ かわいそうに…{CTRL:0} かならず たすけてやるからな」{CTRL:2}いざべる「あいしてるわ あなた」{CTRL:0}だんしゃく「あいしてるよ おまえ」	だんしゃく「おお いざべるよ かわいそうに… ⟦CTRL:0⟧  かならず たすけてやるからな」 ⟦CTRL:2⟧ いざべる「あいしてるわ あなた」 ⟦CTRL:0⟧ だんしゃく「あいしてるよ おまえ」	danshaku「oo izaberuyo kawaisouni… /  kanarazu tasuketeyarukarana」 / izaberu「aishiteruwa anata」 / danshaku「aishiteruyo omae」	だんしゃく「おお いざべるよ かわいそうに… かならず たすけてやるからな」いざべる「あいしてるわ あなた」だんしゃく「あいしてるよ おまえ」	Baron: Oh, Isabelle...{CTRL:0}I swear I will save you.{CTRL:2}Isabelle: I love you.{CTRL:0}Baron: I love you too.	Baron: Oh, Isabelle... ⟦CTRL:0⟧ I swear I will save you. ⟦CTRL:2⟧ Isabelle: I love you. ⟦CTRL:0⟧ Baron: I love you too.	0,2,0	0,2,0	yes	hiragana:58; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おまえ: familiar or rough second person; relationship and tone matter	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
356	T22	T22/g0/r14	scenario	group 0 @ 0xAA4E; record 14	group-compressed	かんしゅ「だめです／ あなたをそとにだすなとの{CTRL:0} しきょうさまの いいつけです」	かんしゅ「だめです／ あなたをそとにだすなとの ⟦CTRL:0⟧  しきょうさまの いいつけです」	kanshu「damedesu／ anataosotonidasunatono /  shikyousamano iitsukedesu」	かんしゅ「だめです／ あなたをそとにだすなとの しきょうさまの いいつけです」	Jailer: You can't leave.{CTRL:0}The bishop ordered it.	Jailer: You can't leave. ⟦CTRL:0⟧ The bishop ordered it.	0	0	yes	hiragana:33; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	さま: -sama: high respect, worship, status, or irony | です/ます: polite register	Source suppresses normal kanji/katakana distinctions; restore only with context		high		
357	T22	T22/g0/r15	scenario	group 0 @ 0xAA4E; record 15	group-compressed	しきょう「ふぉふぉふぉ……{CTRL:1} まずは むすめをひあぶりにしてからじゃ{CTRL:2} おまえは ここでおとなしくしておれ{CTRL:0} ふぉふぉふぉ……」	しきょう「ふぉふぉふぉ…… ⟦CTRL:1⟧  まずは むすめをひあぶりにしてからじゃ ⟦CTRL:2⟧  おまえは ここでおとなしくしておれ ⟦CTRL:0⟧  ふぉふぉふぉ……」	shikyou「fofofo…… /  mazuha musumeohiaburinishitekaraja /  omaeha kokodeotonashikushiteore /  fofofo……」	しきょう「ふぉふぉふぉ…… まずは むすめをひあぶりにしてからじゃ おまえは ここでおとなしくしておれ ふぉふぉふぉ……」	Bishop: Ho ho ho...{CTRL:1}first, she will burn.{CTRL:2}You will wait here.{CTRL:0}Ho ho ho...	Bishop: Ho ho ho... ⟦CTRL:1⟧ first, she will burn. ⟦CTRL:2⟧ You will wait here. ⟦CTRL:0⟧ Ho ho ho...	1,2,0	1,2,0	yes	hiragana:50; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person | おまえ: familiar or rough second person; relationship and tone matter | じゃ: old-person/western-style copula; context decides voice versus region	おとな → 大人 | むすめ → 娘	ellipsis carries timing/hesitation tone	medium		
358	T22	T22/g0/r16	scenario	group 0 @ 0xAA4E; record 16	group-compressed	ろうそくのひかりで ほのかにあかるい	ろうそくのひかりで ほのかにあかるい	rousokunohikaride honokaniakarui	ろうそくのひかりで ほのかにあかるい	Dim candlelight fills it	Dim candlelight fills it			yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
359	T22	T22/g0/r17	scenario	group 0 @ 0xAA4E; record 17	group-compressed	うすぐらい	うすぐらい	usugurai	うすぐらい	It is dim.	It is dim.			yes	hiragana:5; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
360	T22	T22/g0/r18	scenario	group 0 @ 0xAA4E; record 18	group-compressed	くるしそうに かおをゆがめている	くるしそうに かおをゆがめている	kurushisouni kaooyugameteiru	くるしそうに かおをゆがめている	His face twists in pain.	His face twists in pain.			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
361	T22	T22/g0/r19	scenario	group 0 @ 0xAA4E; record 19	group-compressed	きを うしなっている	きを うしなっている	kio ushinatteiru	きを うしなっている	Unconscious.	Unconscious.			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
362	T22	T22/g0/r20	scenario	group 0 @ 0xAA4E; record 20	group-compressed	ろうそくが もえつきそうだ	ろうそくが もえつきそうだ	rousokuga moetsukisouda	ろうそくが もえつきそうだ	The candle's nearly out.	The candle's nearly out.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
363	T22	T22/g0/r21	scenario	group 0 @ 0xAA4E; record 21	group-compressed	でいりぐちは ひとつしかない	でいりぐちは ひとつしかない	deiriguchiha hitotsushikanai	でいりぐちは ひとつしかない	There is only one exit.	There is only one exit.			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
364	T22	T22/g0/r22	scenario	group 0 @ 0xAA4E; record 22	group-compressed	なかから ひかりがもれてる……	なかから ひかりがもれてる……	nakakara hikarigamoreteru……	なかから ひかりがもれてる……	Light leaks from inside.	Light leaks from inside.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
365	T22	T22/g0/r23	scenario	group 0 @ 0xAA4E; record 23	group-compressed	ひみつのつうろだ	ひみつのつうろだ	himitsunotsuuroda	ひみつのつうろだ	A secret passage.	A secret passage.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
366	T22	T22/g0/r24	scenario	group 0 @ 0xAA4E; record 24	group-compressed	だれもいない	だれもいない	daremoinai	だれもいない	Nobody here.	Nobody here.			yes	hiragana:6; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
367	T22	T22/g0/r25	scenario	group 0 @ 0xAA4E; record 25	group-compressed	ちの「……うぅ」	ちの「……うぅ」	chino「……uu」	ちの「……うぅ」	Chino: ... Ugh.	Chino: ... Ugh.			yes	hiragana:4; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
368	T22	T22/g0/r26	scenario	group 0 @ 0xAA4E; record 26	group-compressed	…………………………………………	…………………………………………	…………………………………………	…………………………………………	........................	........................			yes	hiragana:0; katakana:0; kanji:0; Latin:0; digits:0			ellipsis carries timing/hesitation tone	low		
369	T22	T22/g0/r27	scenario	group 0 @ 0xAA4E; record 27	group-compressed	もちはこぶには ながすぎる	もちはこぶには ながすぎる	mochihakobuniha nagasugiru	もちはこぶには ながすぎる	Too long to carry.	Too long to carry.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
370	T22	T22/g0/r28	scenario	group 0 @ 0xAA4E; record 28	group-compressed	あいた…… ひみつのつうろだ	あいた…… ひみつのつうろだ	aita…… himitsunotsuuroda	あいた…… ひみつのつうろだ	Opened... a secret path!	Opened... a secret path!			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
371	T22	T22/g0/r29	scenario	group 0 @ 0xAA4E; record 29	group-compressed	むだだ	むだだ	mudada	むだだ	No use.	No use.			yes	hiragana:3; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
372	T22	T22/g0/r30	scenario	group 0 @ 0xAA4E; record 30	group-compressed	ゆかに まほうじんがつくられ{CTRL:0}まんなかに おおきなはこがおいてある	ゆかに まほうじんがつくられ ⟦CTRL:0⟧ まんなかに おおきなはこがおいてある	yukani mahoujingatsukurare / mannakani ookinahakogaoitearu	ゆかに まほうじんがつくられまんなかに おおきなはこがおいてある	A magic circle is drawn{CTRL:0}with a large box inside.	A magic circle is drawn ⟦CTRL:0⟧ with a large box inside.	0	0	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
373	T22	T22/g0/r31	scenario	group 0 @ 0xAA4E; record 31	group-compressed	ごてごてした ぶきみなかざりがついている{CTRL:0}どこかでみたことが……	ごてごてした ぶきみなかざりがついている ⟦CTRL:0⟧ どこかでみたことが……	gotegoteshita bukiminakazarigatsuiteiru / dokokademitakotoga……	ごてごてした ぶきみなかざりがついているどこかでみたことが……	It has eerie ornaments.{CTRL:0}I have seen it before...	It has eerie ornaments. ⟦CTRL:0⟧ I have seen it before...	0	0	yes	hiragana:28; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
374	T22	T22/g1/r0	scenario	group 1 @ 0xADA0; record 0	group-compressed	かみきれを てにとってみてみると	かみきれを てにとってみてみると	kamikireo tenitottemitemiruto	かみきれを てにとってみてみると	I pick up the paper.	I pick up the paper.			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
375	T22	T22/g1/r1	scenario	group 1 @ 0xADA0; record 1	group-compressed	「     けいやくしょ{CTRL:1} やみのしはいしゃ・あくまよ われは{CTRL:0} なんじにぬかずくもの なんじはわがせいぎのかみ{CTRL:6} あくとくと ちゅうしょうと あらゆるざいあくに{CTRL:4} すべてをささげることを ここにかたくちかわん{CTRL:3}                  しきょう」	「     けいやくしょ ⟦CTRL:1⟧  やみのしはいしゃ・あくまよ われは ⟦CTRL:0⟧  なんじにぬかずくもの なんじはわがせいぎのかみ ⟦CTRL:6⟧  あくとくと ちゅうしょうと あらゆるざいあくに ⟦CTRL:4⟧  すべてをささげることを ここにかたくちかわん ⟦CTRL:3⟧                   しきょう」	「     keiyakusho /  yaminoshihaisha・akumayo wareha /  nanjininukazukumono nanjihawagaseiginokami /  akutokuto chuushouto arayuruzaiakuni /  subeteosasagerukotoo kokonikatakuchikawan /                   shikyou」	「     けいやくしょ やみのしはいしゃ・あくまよ われは なんじにぬかずくもの なんじはわがせいぎのかみ あくとくと ちゅうしょうと あらゆるざいあくに すべてをささげることを ここにかたくちかわん                  しきょう」	"""PACT{CTRL:1}O Devil, lord of night,{CTRL:0}I kneel. You are my god{CTRL:6}of justice. I pledge all{CTRL:4}to vice, slander, evil.{CTRL:3}Bishop"""	"""PACT ⟦CTRL:1⟧ O Devil, lord of night, ⟦CTRL:0⟧ I kneel. You are my god ⟦CTRL:6⟧ of justice. I pledge all ⟦CTRL:4⟧ to vice, slander, evil. ⟦CTRL:3⟧ Bishop"""	1,0,6,4,3	1,0,6,4,3	yes	hiragana:89; katakana:1; kanji:0; Latin:0; digits:0		あくま → 悪魔		low		
376	T22	T22/g1/r2	scenario	group 1 @ 0xADA0; record 2	group-compressed	けいやくしょを てにいれた	けいやくしょを てにいれた	keiyakushoo teniireta	けいやくしょを てにいれた	Obtained the pact.	Obtained the pact.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
377	T22	T22/g1/r3	scenario	group 1 @ 0xADA0; record 3	group-compressed	なにを！	なにを！	nanio！	なにを！	What are you doing?!	What are you doing?!			yes	hiragana:3; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
378	T22	T22/g1/r4	scenario	group 1 @ 0xADA0; record 4	group-compressed	おもくてもてない	おもくてもてない	omokutemotenai	おもくてもてない	It is too heavy to lift.	It is too heavy to lift.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
379	T22	T22/g1/r5	scenario	group 1 @ 0xADA0; record 5	group-compressed	1まいのかみきれが はいっている	1まいのかみきれが はいっている	1mainokamikirega haitteiru	1まいのかみきれが はいっている	A sheet of paper inside.	A sheet of paper inside.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['1']; verify dates/counts and Japanese ordering	medium		
